clientes,credenciales,estadoCivil,situacionLaboral,morosidad, procesoJudicial,uuidPareja,enGananciales
'cc96e4a2-0abc-3daa-87f2-b7495a6ae260',NULL,casado,desempleado,0,1,'4bff0752-5af8-35b4-8e3f-3ee6a9542a7',0
'7b2686e5-01cf-355c-b34b-77ae66ffd904',NULL,soltero,desempleado,0,0,NULL,NULL
'fc207196-8583-3917-b3a6-443ca93e25ef',NULL,soltero,empleado,0,0,NULL,NULL
'b9e9f368-a32f-3cb5-b860-82cfa3a3e82d',NULL,soltero,empleado,0,0,NULL,NULL
'4b0c1232-b0f4-3cb2-85c5-f62d1b362ad9',NULL,soltero,empleado,0,0,NULL,NULL
'1b+A4791692c-8ac4-3e00-bdfa-3749f1286c95',NULL,soltero,desempleado,0,1,NULL,NULL
'694476d2-b213-3d05-8f82-b371b81a99ab',NULL,soltero,empleado,0,1,NULL,NULL
'81942ad5-70b4-38de-aa41-4a17ac40bcf6',NULL,soltero,desempleado,0,0,NULL,NULL
'27648b5e-051f-3d9e-ab66-f05dd4211f74',NULL,soltero,rentista,0,0,NULL,NULL
'5bfc8d60-db56-39b8-8910-ac24b1c0e937',NULL,casado,responsable_del_hogar,1,1,NULL,0
'5bfc8d60-db56-39b8-8910-ac24b1c0e935',NULL,soltero,estudiante,0,1,NULL,NULL
'18729732-a351-3e51-8f9f-9e4ec1f97ef5',NULL,soltero,estudiante,1,0,NULL,NULL
'4bff0752-5af8-35b4-8e3f-3ee6a9542a7',NULL,casado,empleado,1,0,'cc96e4a2-0abc-3daa-87f2-b7495a6ae260',0
'e588c751-3072-363c-bf1e-8f14cbedaed3',NULL,soltero,estudiante,0,0,NULL,NULL
'aaadb0fa-a96e-35bb-9fcc-20271f867c5e',NULL,soltero,empleado,0,0,NULL,NULL
'39209447-3ffd-31a0-944f-71f2550e7ad5',NULL,casado,empleado,0,0,NULL,0
'4dd25d0b-f870-3cd8-b8a4-1c69df82fed2',NULL,soltero,empleado,0,0,NULL,NULL
'8c7d8981-0787-3f87-b8eb-258a171c26f4',NULL,soltero,desempleado,0,0,NULL,NULL
'104942e2-2a79-3f88-b29b-d531fbfd6b93',NULL,casado,desempleado,0,0,'1e2d2465-5825-372c-9cd8-05f2611ba3ed',0
'16bc4e32-6db8-3001-b546-67c6f78d0313',NULL,soltero,empleado,0,0,NULL,NULL
'e68bcfd2-dd91-3a83-84fa-38b17bf77af5',NULL,casado,empleado,0,1,'f9a0dc00-ef3d-3c8e-a14f-eb1732ee13bc',0
'e68bcfd2-dd91-3a83-84fa-38b17bf77af6',NULL,soltero,desempleado,0,1,NULL,NULL
'52814732-0c70-325c-9bc8-7c696c5b3de7',NULL,casado,rentista,0,0,NULL,0
'39786164-237f-32c9-a2b0-e22e15afbf2f',NULL,soltero,empleado,0,0,NULL,NULL
'd9db876f-2b2e-34d3-9566-31e0437306fd',NULL,casado,pensionista,1,0,NULL,0
'548bfd47-7931-3fec-ac54-bbaf969311c0',NULL,soltero,rentista,0,0,NULL,NULL
'da3b368e-d75f-3e19-a0b3-e8454ec11c3e',NULL,soltero,rentista,0,1,NULL,NULL
'94056002-047b-337e-8a05-43a7a5296bc5',NULL,soltero,rentista,0,0,NULL,NULL
'ff2d44ea-7437-3dc0-ae20-ee6d9be37082',NULL,soltero,empleado,0,1,NULL,NULL
'f9a0dc00-ef3d-3c8e-a14f-eb1732ee13bc',NULL,casado,pensionista,0,0,'e68bcfd2-dd91-3a83-84fa-38b17bf77af5',1
'89e16e10-566f-3905-a700-e941c1f8e90f',NULL,soltero,empleado,0,0,NULL,NULL
'cae40185-58c9-369a-be9a-28948453e988',NULL,soltero,empleado,0,0,NULL,NULL
'37d8d125-52f6-38c6-a480-0b774d33d578',NULL,casado,responsable_del_hogar,0,0,NULL,1
'afba8c66-0e8d-3043-9206-905ec158b14d',NULL,casado,responsable_del_hogar,0,0,NULL,1
'9eae39d8-1286-338c-9ccc-febb7a0960d7',NULL,soltero,desempleado,0,0,NULL,NULL
'9fe6dc3e-d2ce-3ab3-aae9-e5c4f48df1a1',NULL,soltero,autonomo,0,0,NULL,NULL
'399be0a2-9285-3f8c-bb30-3cab5e43acd4',NULL,soltero,pensionista,0,0,NULL,NULL
'9d66f444-253a-3288-bf4b-da0346060e37',NULL,soltero,desempleado,0,0,NULL,NULL
'e59fdfe5-840a-3cdb-af1a-31d98b2f7863',NULL,soltero,pensionista,0,0,NULL,NULL
'075d1279-e8c8-3868-a3c4-2f43cefa7b49',NULL,soltero,autonomo,1,1,NULL,NULL
'44b61fb5-7364-3dfd-ad25-13453efd9b5c',NULL,soltero,autonomo,0,0,NULL,NULL
'f17ab904-7359-34c6-9896-95c828332658',NULL,casado,autonomo,1,1,NULL,1
'f3e41661-c132-3338-860e-7bde96b4c484',NULL,soltero,autonomo,0,0,NULL,NULL
'95a342b4-e3d8-3761-beba-2b610ac3fc77',NULL,soltero,autonomo,1,1,NULL,NULL
'21152f4b-b280-380c-971a-bc54c2a72765',NULL,soltero,autonomo,1,1,NULL,NULL
'641c67b2-df77-392f-9ef2-b0cb29ff9f7f',NULL,soltero,autonomo,0,1,NULL,NULL
'30a37f22-45bd-3ea3-b910-c15f2d20b8cb',NULL,soltero,autonomo,1,0,NULL,NULL
'9c496750-76d5-3868-84b1-cf9e0b02a61a',NULL,casado,autonomo,0,0,'4c2aab6e-9f42-34a8-8f7e-1649e3906574',1
'4c2aab6e-9f42-34a8-8f7e-1649e3906574',NULL,casado,autonomo,0,0,'9c496750-76d5-3868-84b1-cf9e0b02a61a',1
'1e2d2465-5825-372c-9cd8-05f2611ba3ed',NULL,casado,autonomo,0,0,'104942e2-2a79-3f88-b29b-d531fbfd6b93',1
